experiment_id,timestamp,scenario,label,order_request_rate,order_error_rate_5xx,order_error_rate_4xx,order_p99_latency_s,order_p95_latency_s,order_p50_latency_s,order_jvm_heap_mb,order_active_threads,order_service_up,payment_request_rate,payment_error_rate_5xx,payment_error_rate_4xx,payment_p99_latency_s,payment_p95_latency_s,payment_p50_latency_s,payment_jvm_heap_mb,payment_active_threads,payment_service_up,inventory_request_rate,inventory_error_rate_5xx,inventory_error_rate_4xx,inventory_p99_latency_s,inventory_p95_latency_s,inventory_p50_latency_s,inventory_jvm_heap_mb,inventory_active_threads,inventory_service_up,shipping_request_rate,shipping_error_rate_5xx,shipping_error_rate_4xx,shipping_p99_latency_s,shipping_p95_latency_s,shipping_p50_latency_s,shipping_jvm_heap_mb,shipping_active_threads,shipping_service_up,delivery_request_rate,delivery_error_rate_5xx,delivery_error_rate_4xx,delivery_p99_latency_s,delivery_p95_latency_s,delivery_p50_latency_s,delivery_jvm_heap_mb,delivery_active_threads,delivery_service_up,notification_request_rate,notification_error_rate_5xx,notification_error_rate_4xx,notification_p99_latency_s,notification_p95_latency_s,notification_p50_latency_s,notification_jvm_heap_mb,notification_active_threads,notification_service_up,run,fault_type,fault_service,fault_delay_ms,order_error_ratio,order_latency_spike,payment_error_ratio,payment_latency_spike,inventory_error_ratio,inventory_latency_spike,shipping_error_ratio,shipping_latency_spike,delivery_error_ratio,delivery_latency_spike,notification_error_ratio,notification_latency_spike,system_mean_error_rate,system_max_error_rate,system_max_p99_latency,system_mean_p99_latency,num_services_down,rolling_mean_error,rolling_std_error,delta_error_rate,acceleration_error,delta_latency,rolling_mean_latency,delta_services_down
1e9f9bb7,2026-09-01T16:20:50.989839,DELIVERY_DOWN,1,0.300204,0.0,,,,,24.0,,1.0,0.380792,0.0,,,,,1.0,,1.0,0.36075,0.0,0.160333,,,,0.0,,1.0,0.32068,0.0,,,,,6.0,,1.0,0.26886,0.089101,,,,,14.0,,1.0,0.64136,0.100212,,,,,4.999992,,1.0,1,DOWN,delivery-service,0,0.0,,0.0,,0.0,,0.0,,0.3314029594160419,,0.1562492201630141,,0.0315521666666666,0.100212,,,0,0.0315521666666666,0.0,0.0,0.0,0.0,,0.0
4769da3c,2026-09-01T16:21:40.123522,DELIVERY_DOWN,1,0.321111,0.0,,,,,2.0,,1.0,0.301048,0.0,,,,,6.0,,1.0,0.321117,0.0,0.120419,,,,5.0,,1.0,0.301054,0.0,,,,,12.0,,1.0,0.300868,0.120414,,,,,1.0,,1.0,0.561944,0.0,,,,,5.0,,1.0,2,DOWN,delivery-service,0,0.0,,0.0,,0.0,,0.0,,0.4002220229462021,,0.0,,0.020069,0.120414,,,0,0.025810583333333303,0.00811982501949528,-0.011483166666666603,-0.011483166666666603,0.0,,0.0
aa7bb6b4,2026-09-01T16:22:26.969418,DELIVERY_DOWN,1,0.300945,0.0,,,,,1.0,,1.0,0.320115,0.0,,,,,1.0,,1.0,0.340122,0.0,0.120043,,,,9.0,,1.0,0.320109,0.0,,,,,18.0,,1.0,0.320109,0.120041,,,,,0.0,,1.0,0.540194,0.0,,,,,1.999992,,1.0,3,DOWN,delivery-service,0,0.0,,0.0,,0.0,,0.0,,0.3750003893205114,,0.0,,0.0200068333333333,0.120041,,,0,0.023875999999999967,0.006647828005780843,-6.216666666669993e-05,0.011420999999999903,0.0,,0.0
2fe37ce5,2026-09-01T16:22:58.953445,DELIVERY_DOWN,1,0.420505,0.0,,,,,6.0,,1.0,0.380319,0.0,,,,,2.999992,,1.0,0.380335,0.0,0.180159,,,,13.0,,1.0,0.36031,0.0,,,,,21.0,,1.0,0.420353,0.200168,,,,,3.0,,1.0,0.720605,0.0,,,,,5.999992,,1.0,4,DOWN,delivery-service,0,0.0,,0.0,,0.0,,0.0,,0.4761902484906965,,0.0,,0.0333613333333333,0.200168,,,0,0.02447905555555553,0.007692341000294687,0.013354499999999998,0.013416666666666698,0.0,,0.0
ea6121a0,2026-09-01T16:23:30.287653,DELIVERY_DOWN,1,0.440343,0.0,,,,,4.0,,1.0,0.440335,0.0,,,,,6.999992,,1.0,0.50038,0.0,0.240183,,,,16.0,,1.0,0.440335,0.0,,,,,25.0,,1.0,0.420521,0.200248,,,,,1.999992,,1.0,0.940715,0.0,,,,,9.999992,,1.0,5,DOWN,delivery-service,0,0.0,,0.0,,0.0,,0.0,,0.4761902485816636,,0.0,,0.0333746666666666,0.200248,,,0,0.02891427777777773,0.007714076052424712,1.3333333333302722e-05,-0.013341166666666696,0.0,,0.0
e6e8baa4,2026-09-01T16:09:13.194577,INVENTORY_DOWN,1,0.0,0.0,,,,,0.0,,0.0,0.12069,0.0,,,,,6.0,,1.0,0.110193,0.0,0.0,,,,2.999992,,1.0,0.107675,0.0,,,,,23.999992,,1.0,0.06096,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,1.0,1,DOWN,inventory-service,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,2,0.0,0.0,0.0,0.0,0.0,,0.0
28e231f0,2026-09-01T16:11:31.958278,INVENTORY_DOWN,1,0.278253,0.0,,,,,2.0,,1.0,0.258408,0.0,,,,,5.0,,1.0,0.313527,0.134959,0.0,,,,2.0,,1.0,0.27833,0.0,,,,,33.999992,,1.0,0.258393,0.0,,,,,0.0,,1.0,0.574497,0.0,,,,,4.0,,1.0,2,DOWN,inventory-service,0,0.0,,0.0,,0.4304541540905435,,0.0,,0.0,,0.0,,0.0224931666666666,0.134959,,,0,0.0112465833333333,0.01590507068035916,0.0224931666666666,0.0224931666666666,0.0,,-2.0
717c6e7c,2026-09-01T16:12:28.858612,INVENTORY_DOWN,1,0.320404,0.0,,,,,1.0,,1.0,0.32041,0.0,,,,,0.0,,1.0,0.340429,0.140177,0.0,,,,1.999992,,1.0,0.300348,0.0,,,,,39.999992,,1.0,0.280359,0.0,,,,,1.0,,1.0,0.5404,0.0,,,,,5.0,,1.0,3,DOWN,inventory-service,0,0.0,,0.0,,0.4117657414269473,,0.0,,0.0,,0.0,,0.0233628333333333,0.140177,,,0,0.015285333333333298,0.013244626886443813,0.0008696666666667026,-0.021623499999999896,0.0,,0.0
1dd3476f,2026-09-01T16:13:36.174401,INVENTORY_DOWN,1,0.167336,0.0,,,,,4.0,,1.0,0.14637,0.0,,,,,8.999992,,1.0,0.242122,0.034589,0.0,,,,3.0,,1.0,0.172939,0.0,,,,,49.999992,,1.0,0.188561,0.0,,,,,1.0,,1.0,0.14482,0.0,,,,,3.0,,1.0,4,DOWN,inventory-service,0,0.0,,0.0,,0.1428577322884424,,0.0,,0.0,,0.0,,0.0057648333333333,0.034589,,,0,0.0172069444444444,0.009918694976509603,-0.017598000000000003,-0.018467666666666705,0.0,,0.0
a2e8645c,2026-09-01T16:14:26.036169,INVENTORY_DOWN,1,0.301144,0.0,,,,,3.0,,1.0,0.301138,0.0,,,,,2.0,,1.0,0.341263,0.14052,0.0,,,,3.0,,1.0,0.301872,0.0,,,,,0.0,,1.0,0.301144,0.0,,,,,1.0,,1.0,0.543358,0.0,,,,,3.999992,,1.0,5,DOWN,inventory-service,0,0.0,,0.0,,0.4117645323056864,,0.0,,0.0,,0.0,,0.02342,0.14052,,,0,0.01751588888888887,0.010176752773319172,0.0176551666666667,0.0352531666666667,0.0,,0.0
617f4d2b,2026-09-01T16:26:52.250467,INVENTORY_ERROR,1,0.420454,0.0,,,,,15.0,,1.0,0.462656,0.120693,,,,,4.0,,1.0,0.545362,0.165065,0.120175,,,,38.0,,1.0,0.440476,0.0,,,,,21.0,,1.0,0.400625,0.0,,,,,8.0,,1.0,0.821331,0.0,,,,,6.0,,1.0,1,ERROR,inventory-service,0,0.0,,0.2608698465795972,,0.3026705192098633,,0.0,,0.0,,0.0,,0.0476263333333333,0.165065,,,0,0.0476263333333333,0.0,0.0,0.0,0.0,,0.0
f97f0d2b,2026-09-01T16:27:16.996110,INVENTORY_ERROR,1,0.460405,0.0,,,,,19.0,,1.0,0.460396,0.0,,,,,8.0,,1.0,0.49215,0.232026,0.0,,,,41.0,,1.0,0.460405,0.0,,,,,25.0,,1.0,0.460405,0.0,,,,,11.0,,1.0,0.940828,0.0,,,,,10.0,,1.0,2,ERROR,inventory-service,0,0.0,,0.0,,0.47145382409539,,0.0,,0.0,,0.0,,0.038671,0.232026,,,0,0.04314866666666665,0.006332376927785906,-0.008955333333333301,-0.008955333333333301,0.0,,0.0
faba13fd,2026-09-01T16:27:40.672496,INVENTORY_ERROR,1,0.460378,0.0,,,,,25.0,,1.0,0.460368,0.0,,,,,10.0,,1.0,0.540432,0.280224,0.0,,,,43.0,,1.0,0.460368,0.0,,,,,3.0,,1.0,0.460368,0.0,,,,,13.0,,1.0,0.940771,0.0,,,,,13.0,,1.0,3,ERROR,inventory-service,0,0.0,,0.0,,0.5185185175590665,,0.0,,0.0,,0.0,,0.0467039999999999,0.280224,,,0,0.04433377777777773,0.004925745000993706,0.008032999999999901,0.016988333333333203,0.0,,0.0
a1159e45,2026-09-01T16:28:04.532365,INVENTORY_ERROR,1,0.460212,0.0,,,,,29.0,,1.0,0.480885,0.0,,,,,2.0,,1.0,0.650374,0.350201,0.0,,,,0.0,,1.0,0.460212,0.0,,,,,5.0,,1.0,0.460839,0.0,,,,,16.0,,1.0,0.940451,0.0,,,,,17.0,,1.0,4,ERROR,inventory-service,0,0.0,,0.0,,0.5384609462579055,,0.0,,0.0,,0.0,,0.0583668333333333,0.350201,,,0,0.04791394444444439,0.009903506290329319,0.0116628333333334,0.0036298333333334987,0.0,,0.0
d7bf991c,2026-09-01T16:28:27.902921,INVENTORY_ERROR,1,0.460839,0.0,,,,,33.0,,1.0,0.480654,0.0,,,,,5.0,,1.0,0.560763,0.280381,0.0,,,,3.0,,1.0,0.480654,0.0,,,,,9.0,,1.0,0.460636,0.0,,,,,18.0,,1.0,0.961307,0.0,,,,,21.0,,1.0,5,ERROR,inventory-service,0,0.0,,0.0,,0.499999107466079,,0.0,,0.0,,0.0,,0.0467301666666666,0.280381,,,0,0.05060033333333327,0.0067259990232761335,-0.011636666666666698,-0.023299500000000098,0.0,,0.0
e1ef8129,2026-09-01T16:35:04.727216,INVENTORY_LATENCY_2S,1,0.35954,0.0,,,,,53.0,,1.0,0.339613,0.0,,,,,2.0,,1.0,0.359583,0.0,0.119861,,,,46.0,,1.0,0.35949,0.0,,,,,52.999992,,1.0,0.359576,0.0,,,,,9.0,,1.0,0.55934,0.0,,,,,23.999992,,1.0,1,LATENCY,inventory-service,2000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
63835413,2026-09-01T16:36:03.280043,INVENTORY_LATENCY_2S,1,0.300186,0.0,,,,,61.0,,1.0,0.280174,0.0,,,,,9.0,,1.0,0.340116,0.0,0.120041,,,,51.0,,1.0,0.300102,0.0,,,,,58.999992,,1.0,0.280162,0.0,,,,,14.0,,1.0,0.540184,0.0,,,,,5.0,,1.0,2,LATENCY,inventory-service,2000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
1d312455,2026-09-01T16:36:41.403795,INVENTORY_LATENCY_2S,1,0.34017,0.0,,,,,67.0,,1.0,0.340177,0.0,,,,,1.0,,1.0,0.360202,0.0,0.140078,,,,56.0,,1.0,0.320166,0.0,,,,,63.999992,,1.0,0.32016,0.0,,,,,18.0,,1.0,0.640307,0.0,,,,,9.0,,1.0,3,LATENCY,inventory-service,2000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
3ce07027,2026-09-01T16:37:18.891170,INVENTORY_LATENCY_2S,1,0.380198,0.0,,,,,71.999992,,1.0,0.360187,0.0,,,,,5.999992,,1.0,0.380205,0.0,0.160086,,,,59.0,,1.0,0.340177,0.0,,,,,1.0,,1.0,0.360187,0.0,,,,,21.0,,1.0,0.660357,0.0,,,,,14.0,,1.0,4,LATENCY,inventory-service,2000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
4dd048fa,2026-09-01T16:37:56.298287,INVENTORY_LATENCY_2S,1,0.360151,0.0,,,,,77.999992,,1.0,0.340054,0.0,,,,,9.999985,,1.0,0.360058,0.0,0.140022,,,,64.0,,1.0,0.320058,0.0,,,,,6.0,,1.0,0.340061,0.0,,,,,25.0,,1.0,0.600096,0.0,,,,,19.0,,1.0,5,LATENCY,inventory-service,2000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
dfe27777,2026-09-01T16:00:44.384983,NORMAL,0,0.162643,0.0,,,,,36.0,,1.0,0.159896,0.0,,,,,0.0,,1.0,0.159151,0.0,0.0,,,,2.0,,1.0,0.169274,0.0,,,,,1.0,,1.0,0.164892,0.0,,,,,1.0,,1.0,0.140121,0.0,,,,,2.0,,1.0,1,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
06b700fb,2026-09-01T16:01:59.722098,NORMAL,0,0.140447,0.0,,,,,2.0,,1.0,0.214703,0.0,,,,,6.999992,,1.0,0.204893,0.0,0.0,,,,5.0,,1.0,0.174705,0.0,,,,,0.0,,1.0,0.14043,0.0,,,,,1.0,,1.0,0.485325,0.0,,,,,1.0,,1.0,2,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
4f3481e6,2026-09-01T16:02:44.036843,NORMAL,0,0.283389,0.0,,,,,0.0,,0.0,0.204269,0.0,,,,,0.0,,0.0,0.233246,0.0,0.0,,,,0.0,,0.0,0.065125,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,3,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,6,0.0,0.0,0.0,0.0,0.0,,6.0
0c19ad82,2026-09-01T16:04:35.926644,NORMAL,0,0.261375,0.0,,,,,1.0,,1.0,0.261233,0.0,,,,,2.0,,1.0,0.281328,0.0,0.0,,,,3.999992,,1.0,0.261233,0.0,,,,,15.0,,1.0,0.267791,0.0,,,,,0.0,,1.0,0.522445,0.0,,,,,6.0,,1.0,4,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,-6.0
62637d8e,2026-09-01T16:05:23.716628,NORMAL,0,0.300692,0.0,,,,,0.0,,1.0,0.300686,0.0,,,,,7.0,,1.0,0.340599,0.0,0.0,,,,2.999992,,1.0,0.320725,0.0,,,,,21.0,,1.0,0.300613,0.0,,,,,1.0,,1.0,0.561302,0.0,,,,,0.0,,1.0,5,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
d1cca311,2026-09-01T16:17:58.937448,NOTIFICATION_DOWN,1,0.420463,0.0,,,,,1.0,,1.0,0.380411,0.0,,,,,4.0,,1.0,0.360418,0.0,0.140163,,,,4.0,,1.0,0.340368,0.020022,,,,,12.999992,,1.0,0.320738,0.0,,,,,3.0,,1.0,0.639865,0.400357,,,,,1.0,,1.0,1,DOWN,notification-service,0,0.0,,0.0,,0.0,,0.058824566178887,,0.0,,0.6256897929630629,,0.0700631666666666,0.400357,,,0,0.0700631666666666,0.0,0.0,0.0,0.0,,0.0
49b40a01,2026-09-01T16:18:30.013419,NOTIFICATION_DOWN,1,0.368522,0.0,,,,,0.0,,1.0,0.420505,0.0,,,,,7.999992,,1.0,0.420505,0.0,0.220264,,,,3.0,,1.0,0.420496,0.0,,,,,16.999992,,1.0,0.382371,0.0,,,,,1.0,,1.0,0.603719,0.382355,,,,,1.0,,1.0,2,DOWN,notification-service,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.6333327249377066,,0.0637258333333333,0.382355,,,0,0.06689449999999994,0.004481171374639513,-0.006337333333333292,-0.006337333333333292,0.0,,0.0
c3a015b2,2026-09-01T16:19:10.228002,NOTIFICATION_DOWN,1,0.300643,0.0,,,,,7.0,,1.0,0.360772,0.0,,,,,1.0,,1.0,0.360765,0.0,0.16034,,,,7.0,,1.0,0.320673,0.0,,,,,21.999992,,1.0,0.320731,0.0,,,,,4.0,,1.0,0.641308,0.440899,,,,,3.0,,1.0,3,DOWN,notification-service,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.6874996090996844,,0.0734831666666666,0.440899,,,0,0.06909072222222216,0.004950820597900149,0.009757333333333298,0.01609466666666659,0.0,,0.0
bc8f3aff,2026-09-01T16:19:41.580071,NOTIFICATION_DOWN,1,0.439455,0.0,,,,,12.0,,1.0,0.439446,0.0,,,,,5.0,,1.0,0.479396,0.0,0.239698,,,,11.0,,1.0,0.439446,0.0,,,,,26.999992,,1.0,0.399513,0.0,,,,,7.0,,1.0,0.938817,0.719094,,,,,2.0,,1.0,4,DOWN,notification-service,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.7659575819718246,,0.119849,0.719094,,,0,0.08568599999999997,0.029985568448746235,0.0463658333333334,0.0366085000000001,0.0,,0.0
ef16acf4,2026-09-01T16:20:10.838898,NOTIFICATION_DOWN,1,0.421272,0.0,,,,,18.0,,1.0,0.461384,0.0,,,,,7.999992,,1.0,0.481396,0.0,0.240698,,,,13.999992,,1.0,0.441342,0.0,,,,,1.0,,1.0,0.421264,0.0,,,,,10.0,,1.0,0.962966,0.722224,,,,,0.0,,1.0,5,DOWN,notification-service,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.7499994799920252,,0.1203706666666666,0.722224,,,0,0.10456761111111106,0.026921182159084192,0.0005216666666666009,-0.0458441666666668,0.0,,0.0
8bab5fd2,2026-09-01T16:06:03.086821,PAYMENT_DOWN,1,0.340538,0.0,,,,,4.999992,,1.0,0.293781,0.11324,,,,,10.999992,,1.0,0.321079,0.0,0.0,,,,3.0,,1.0,0.302383,0.0,,,,,2.0,,1.0,0.302395,0.0,,,,,1.0,,1.0,0.423344,0.0,,,,,0.0,,1.0,1,DOWN,payment-service,0,0.0,,0.3854571929925447,,0.0,,0.0,,0.0,,0.0,,0.0188733333333333,0.11324,,,0,0.0188733333333333,0.0,0.0,0.0,0.0,,0.0
fa5c1cd0,2026-09-01T16:06:45.985144,PAYMENT_DOWN,1,0.363534,0.0,,,,,5.0,,1.0,0.323134,0.121175,,,,,3.0,,1.0,0.323147,0.0,0.0,,,,2.0,,1.0,0.302932,0.0,,,,,6.0,,1.0,0.323141,0.0,,,,,5.0,,1.0,0.424122,0.0,,,,,2.0,,1.0,2,DOWN,payment-service,0,0.0,,0.3749992251666515,,0.0,,0.0,,0.0,,0.0,,0.0201958333333333,0.121175,,,0,0.0195345833333333,0.0009351487181192072,0.0013224999999999973,0.0013224999999999973,0.0,,0.0
326dc56c,2026-09-01T16:07:22.240808,PAYMENT_DOWN,1,0.382125,0.0,,,,,3.0,,1.0,0.340736,0.140303,,,,,5.0,,1.0,0.320596,0.0,0.0,,,,0.0,,1.0,0.300619,0.0,,,,,11.0,,1.0,0.360794,0.0,,,,,9.0,,1.0,0.420909,0.0,,,,,2.999992,,1.0,3,DOWN,payment-service,0,0.0,,0.4117645320372237,,0.0,,0.0,,0.0,,0.0,,0.0233838333333333,0.140303,,,0,0.020817666666666634,0.0023186548003817507,0.0031880000000000033,0.001865500000000006,0.0,,0.0
d29c17fc,2026-09-01T16:08:00.165828,PAYMENT_DOWN,1,0.34062,0.0,,,,,1.0,,1.0,0.380693,0.180328,,,,,8.0,,1.0,0.360642,0.0,0.0,,,,4.0,,1.0,0.340668,0.0,,,,,14.0,,1.0,0.321117,0.0,,,,,12.0,,1.0,0.501022,0.0,,,,,2.0,,1.0,4,DOWN,payment-service,0,0.0,,0.4736835180219139,,0.0,,0.0,,0.0,,0.0,,0.0300546666666666,0.180328,,,0,0.024544777777777735,0.005030903763333756,0.0066708333333332995,0.003482833333333296,0.0,,0.0
